UPC,Winery,Wine,Varietal,Region,Year,Price,Quantity,Rating,URL,Notes,Size
086754000015,Stonehedge,Old Vine,Zinfandel,California,2000,,,,,,750ml
086754105635,Stonehedge,Blair Family Estates,Cabernet Sauvignon,California,2000,,,,,,750ml
086754215754,Dawson Creek,,Cabernet Franc,Sonoma,2001,,,,,,750ml
086754261799,Parsons Creek,Old Vine Zinfandel,Zinfandel,California,2000,,,,http://www.parsonscreek.com,,750ml
086754305639,Blair Family Estate,,Merlot,California,1999,5,,86,,,750ml
086754328768,Rock Springs Vinyard & Winery,Trader Joe's,Sauvignon Blanc,Napa,2001,3.99,,,,,
086754400334,Tistrya Vinyard,Tistrya Napa Valley Cabernet Sauvignon,Cabernet Sauvignon,Napa,2000,23,,,,"Deep, dark, rich and extremely focused, this is truly what great Napa Valley Cabernet Sauvignons are all about. From a winery dedicated to producing handcrafted wines, the Tistrya (pronounced TISS-tree-yah) Cab reflects the mountain-grown, low-yielding fruit that gives Napa Cabs their unique balance of power and finesse. Full-bodied and intense with bright cassis flavors and a silken texture that lingers on your tongue. A Cabernet Sauvignon lover's delight.",750ml
086754512068,Mayen Creek,,Chardonnay,Bay Area/Central Coast,2005,,,,,,750ml
086754519067,Mayen Creek,,Cabernet Sauvignon,Napa,2005,,,,,,750ml
086754757100,Stonehedge,Stonehedge Sauvignon Blanc,Sauvignon Blanc,,,,,,,,750ml
086754930749,Dawson Creek,,Chardonnay,Napa,2004,,,,,,750ml
086754953250,Stonehedge,Stonehedge Cabernet Sauvignon Napa,Cabernet Sauvignon,,,,,,,,750ml
086754953267,Stonehedge,,Chardonnay,California,1998,,,,,Barrel fermented,
086754957067,Stonehedge,Stonehedge Zinfandel Napa,Zinfandel,,,,,,,,750ml
086754957074,Stonehedge,Napa Valley,Merlot,Napa,1999,16.49,,90 W&S,,Grape Tray,
086754957081,Stonehedge,Stonehedge Malbec Napa,Malbec,,,,,,,,750ml
086754959313,Stonehedge,Stonehedge Chardonnay Napa,Chardonnay,,,,,,,,750ml
086754960043,Stonehedge Cellars,California Merlot,Merlot,Napa,1999,5.79,,,www.stonehedgewinery.com,,750ml
086754970011,Stonehedge,Stonehedge Cabernet Sauvignon,Cabernet Sauvignon,,,,,,,,750ml
086765660352,Faustino I,Gran Reserva,Red Wine,Rioja,1994,,,,www.bodegasfaustino.es,,750ml
086767210043,,Bailey's Irish Cream,Irish Cream,,2003,19.95,,,,,1.0l
086767810069,,Black Haus Blackberry Schnapps,Liqueur,,2004,19.95,,,,,750ml
086785000015,Cavit,Cavit Collection Pinot Grigio,Pinot Grigio,Italy,2003,,,,,,1.5l
086785000039,,Cavit Pinot Grigio,,Portugal,2000,9.79,,,,,1.5l
086785000084,,Cavit Pinto Grigio,Pinot grigio,Italy,2000,,,,,,750ml
086785110448,Principato,Cabernet Sauvignon / Merlot,Cabernet Sauvignon / Merlot,Tipica,1997,,,,www.palmbayimports.com,,750ml
086785120010,Marchesi Di Barolo,Madonna di Como,Dolcetto,Barolo,1998,,,,www.marchesibarolo.com,,750ml
086785120171,Marchesi Di Barolo,Cannubi,Nebbiolo,Portugal,1993,,,,,,750ml
086785120218,Rocca delle Macie,Rubizzo Toscana,Sangiovese Grosso,Toscana IGT,2000,,,,www.palmbayimports.com,,750ml
086785120270,Rocca delle Macie,Orvieto,White Blend,Toscana IGT,2000,,,,,www.palmbayimports.com,750ml
086785120317,Rocca delle Macie,,Red Wine,Chianti,2001,$9.50,,WS 84,,,750ml
086785120331,Rocca delle Macie,Chianti Classico Riserva,Sangiovese/Merlot/Cabernet Sauvignon,Tuscany,98,,,,www.palmbayimports.com,,750ml
086785120539,Bertani,Catullo,Corvina Veronese/Cabernet Sauvignon,Verona,1996,,,,,,750ml
086785120577,Bertani,Amarone - Vendemmia,Red Wine,Italy,1990,90,,,,,750ml
086785121751,Bertani,Due Uve,Pinot Grigio & Sauvignon,Negrar Vernona,2001,,,,,,750ml
086785130071,Straccali,Chianti,Sangiovese,Tuscany,1999,,,,www.palmbayimports.com,,750ml
086785141015,Castello di Camigliano,Brunello,Red Wine,Montalcino,1993,,,,,,750ml
086785142074,Sella & Mosca,La Cala,Vermintino,Alghero,1999,,,,www.sellaemosca.com,,750ml
086785142098,Sella & Mocca,Cannonau Di Sardegna Riserva,Chablis,Italy,2004,9.50,,,,,750ml
086785142326,Isola Dei Muraghi,Raim,Carignan/Merlot,Alghero,1996,,,,,,750ml
086785150154,Mont Gras ,Reserva,Carmenere,Chile,2000,9,,,,,750ml
086785153032,Fazi Battaglia,Verdicchio Classico,Verdicchio,,2001,,,,www.palmbayimports.com,Dei Castelli di Jesi,750ml
