UPC,Winery,Wine,Varietal,Region,Year,Price,Quantity,Rating,URL,Notes,Size
659282200761,Omaka Springs Estates,Omaka Springs Sauvignon Blanc,Sauvignon Blanc,New Zealand,2004,,,,,,750ml
659310713010,Lighthouse,,Sauvignon Blanc,New Zealand,2001,,,,,,750ml
659496100499,Chateau Fourney,St. Emilion Grand Cru,Bordeaux,St.-Emilion,2000,,,,,,750ml
659994000024,Campus Oaks,Campus Oaks Calif Chardonnay,Chardonnay,California,1999,17.00,,,,,750ml
659994000604,Campus Oaks,Campus Oaks Lodi Merlot,Merlot,California,1998,17.00,,,,,750ml
659994001007,Gnekow Family Winery,Campus Oaks Syrah,Syrah,California,1999,,,,,,
659994001205,Campus Oaks,Campus Oaks Old Vine,Zinfandel,Sierra Foothills,2002,20,,,,,
659994001250,Gnekow Family Winery,Campus Oaks Old Vine Zinfandel,Zinfandel,California,2000,,,,www.gnekow.com,,
659994050005,Gnekow Family Wines,YN Red,Syrah - Viognier Blend,California,,,,,http://www.gnekow.com/,,
659994151009,Thumbprint Cellars,Viognier,Viognier,Sonoma,2008,,,,,,750ml
659994151771,Thumbprint,Threesome,Red Wine,Sonoma,2006,,,,,,750ml
659994151991,Thumbprint,Four Play,Red Wine,California,2005,,,,,,750ml
659994155557,Thumbprint,Climax,Red Wine,Sonoma,2005,,,,,,750ml
659994159982,Thumbprint Cellars,Gallaway Vineyard,Cabernet Sauvignon,Sonoma,2006,,,,,,750ml
659994159999,Thumbprint Cellars,Andolsen Top Block,Cabernet Sauvignon,Sonoma,2006,,,,,,750ml
660068026062,Vin De Tevis,Dos Rios Charbono,Red Wine,Mendocino/Lake,2002,$12,,,www.vindetevis.com,,750ml
660576010348,Masseria Pepe,Portile Primitivo del Tarantino,Red Wine,Italy,2007,10,,,,,
660576015053,,Vestini Montepulciano D'Abruzzo,,Italy,2005,,,,Masseria Pepe,,750ml
660650000357,Cooper-Garrod Vineyards,R.V.'s Fine Claret,Cabernet Sauvignon Blend,Bay Area/Central Coast,1999,,,,www.cgv.com,Bottle #823,750ml
660650000500,Cooper-Garrod Vineyards,Viognier,Randall Grahm Clone,Spain,2002,26,,,www.cgv.com,,750ml
660930020068,Chrysalis Vineyards,Papillon,Bordeaux blend,Virginia,2002,,,,,,750ml
660930020075,Chrysalis Vineyards,Petit Verdot,Petit Verdot,Virginia,2002,18,,,,,750ml
660930020082,Chrysalis Vineyards,Rubiana,Red blend,Virginia,2002,,,,,,750ml
660930020112,Chrysalis Vineyards,Viognier,White Wine,Virginia,2002,,,,,,
660930030111,Chrysalis Vineyards,Sarah's Patio White,White blend,Virginia,2003,,,,,,750ml
660930050140,Chrysalis Vineyards,Hollin Reserve,Tannat,Virginia,2005,,,,,,
660930070018,Chrysalis Vineyards,,Albarino,Virginia,2007,,,,,,
661785007037,Oakstone,Oakstone Reserve O'Brian Cab Sav,Cabernet Sauvignon,Sierra Foothills,2001,20.00,,,http://www.oakstone-winery.com,,750ml
661785010709,Oakstone,Oakstone De Cascabel Merlot,Merlot,Sierra Foothills,2000,16.00,,,http://www.oakstone-winery.com,,750ml
661785010716,Oakstone,Oakstone De Cascabel Cab Sav,Cabernet Sauvignon,Sierra Foothills,2000,9.95,,,http://www.oakstone-winery.com,,750ml
661785010730,Oakstone,Slug Gulch Red #14,Red Wine,Sierra Foothills,NV,9.50,,,http://www.oakstone-winery.com,,750ml
661785020609,Oakstone,Naylor Vineyard Barbera,Barbera,Sierra Foothills,2002,15.00,,,http://www.oakstone-winery.com,,750ml
661785030301,Obscurity Cellars,Fair Play Barbera,Barbera,Sierra Foothills,2001,24.00,,,http://www.oakstone-winery.com,,750ml
661785030318,Obscurity Cellars,Old Man Murrill Amador County Zinfandel,Zinfandel,Sierra Foothills,2003,13.50,,,http://www.oakstone-winery.com,,750ml
661785040119,Oakstone,Sierra Foothills Zinfandel,Zinfandel,Sierra Foothills,2001,15.00,,,http://www.oakstone-winery.com,,750ml
661785040300,Oakstone,Murriel Hill Zinfandel,Zinfandel,Sierra Foothills,2001,15.00,,,http://www.oakstone-winery.com,,750ml
661785040409,Obscurity Cellars,Fair Play Malbec,Malbec,Sierra Foothills,2005,24.00,,,http://www.oakstone-winery.com,,750ml
661785997062,Oakstone Winery,El Dorado Zinfandel,Zinfandel,Sierra Foothills,1997,,,,http://www.oakstone-winery.com,,750ml
661785997109,Oakstone,Boa Vista Vineyards Syrah,Syrah,Sierra Foothills,2000,,,,http://www.oakstone-winery.com,,750ml
661893026210,York Creek Vineyards,Horseshoe Cabernet Sauvignon ,Cabernet Sauvignon,Napa,2002,60,,,,,750ml
662235191114,Keller Estate,La Cruz Vineyard Chardonnay,Chardonnay,Sonoma,2003,$29,,,,,750ml
662235229924,Pyramids,Sonoma Coast,Pinot Noir,Sonoma Coast,1999,20,,,,,750ml
662561000051,Six Mile Creek Vineyard,Pasa Tiempo,White Wine,"New York, Finger Lakes, Cayuga Lake",,8.50,,,http://www.sixmilecreek.com,,750ml
663194000210,Douglas Green,,Sauvignon Blanc,,2004,,,,,,
663273230392,Cave de Tain l'Hermitage,,Marsanne,VdP Collines Rhodaniennes,2001,,,,www.cave-tain-hermitage.com/cave-tain-hermitage/ default_gb.html,,750ml
663273410398,Cave de Tain l'Hermitage,Hermitage,Rhone,VdP Collines Rhodaniennes,1997,28,,,www.cave-tain-hermitage.com/cave-tain-hermitage/ default_gb.html,,750ml
663273910393,Cave de Tain,Syrah,Syrah,Rhone,2004,,,,,,
663985000016,Bodegas Emilio Moro,,,Spain,1999,25,,,,,
663985000078,Bodegas Emilio Moro,Ribera Del Duero,Red Wine,Spain,2000,18.00,,90,,"The 2000 Moro was aged in equal parts French and American oak for 12 months. It exhibits an excellent ruby/purple color along with a sumptuous bouquet of licorice, underbrush, black currants, and jammy cherries, a medium to full-bodied, elegant, plush personality, and a moderately tannic finish. Give it 12-18 more months of cellaring, and drink it over the following 10-12 years. ",750ml
663985000252,Bodegas Emilio Moro,Malleolus Ribera Del Duero,Red Wine,Spain,2000,23,,90 ws,,"Plum, chocolate and cedar notes mingle in this rich, ripe red. It has more power than grace right now, but it's balanced and clean and should age well. Best from 2004 through 2011. 400 cases made. (TM)",
663985000337,Bodegas Emilio Moro,Emilio Moro,Red Wine,Ribera del Duero,2001,21.00,,,,,750ml
664030199860,Domaine Combret,Lineage,Gamay,Canada,1998,30,,,http://www.combretwine.com/,,750ml
664150381244,Cakebread Cellars,,Cabernet Sauvignon,Napa,2001,45?? ATW,,,,,750ml
664150381268,Januik,,Cabernet,Washington -Columbia Valley,2002,29.99,,,,,750ml
664150383750,Betz,Clos de Betz,Red Wine,Washington - Columbia Valley,2002,31.99,,,,,750ml
664150385020,Fidelitas,Meritage,Cabernet Sauvignon Blend,Washington,2001,35??,,LR,,,
664228100210,Clos LaChance,,Chardonnay,California,2000,15.99,,,,,
664228400051,Clos LaChance,El Dorado County Zinfandel,Zinfandel,California,2001,12,,80,,"Medium-bodied, with strawberry jam, herb and spice notes that finish with some heat. Drink now.",750ml
664228486611,Clos La Chance,Zinfandel,Zinfandel,Bay Area/Central Coast,2003,,,,,,750ml
664228486642,Clos LaChance,Hummingbird Series  ,Cabernet Sauvignon,Bay Area/Central Coast,2006,,,,,,750ml
664228500058,Clos LaChance,Pinot Noir,Pinot Noir,California,2001,$45,,92,,,750ml
664228881003,Clos La Chance,Erwin Vineyard,Pinot Noir,Santa Cruz Mountains,2003,35.00,,,,"bottle 208 of 1,200",750ml
664228946450,Clos LaChance,Bronzy Inca,Chardonnay,California,2007,,,,,,750ml
664486022019,Torre Oria,Reserve,Red Wine,Spain,1993,14.00,,,,,
664486032018,Torre Oria,Gran Reserva,Red Wine,Spain,1991,12,,86WS,,,750ml
664841000348,Vina Sastre,Seis,Tempranillo,Ribera del Duero,2005,15,,,,,750ml
664841000508,Rotllan Torra ,Torroja del Priorat Reserva,Cabernet Sauvignon Blend,Priorat,2001,14,,89+GV,,"""2001 was an excellent vintage marked by wonderful concentration. The reserva is a always a more traditionally style Priorat aged in older barrels. Ripe currant flavors framed by notes of pronounced minerality. Excellent purity and length."" -Importer #3; COLOR-very dark; NOSE-stunning amount of chocolate & hot cocoa powder; TASTE-very complex, great richness, very sour cherry, chocolate/cocoa, burnt smoked sausage, underlying vegetal mixed in (asparagus, cabbage), short dry finish, a little more Cabernet, like an Sangiovese Old World Italian, definitely worth seeking out; GV-89+ ",750ml
664841000942,Avinyó ,Cava Avinyó Brut Reserva NV,"Macabeu, Parellada, Xarel-lo",Penedes,NV,,,,www.demaisonselections.com,,750ml
664841001024,Vina Sastre,Tinto,Tempranillo,Ribera del Duero,2000,12,,,,,
664841002021,Arbanta,Rioja,Tempranillo,Rioja,,,,,http://www.demaisonselections.com,,
665319981060,Jackson Estate,Unoaked Chardonnay,Chardonnay,New Zealand,2002,,,,,,750ml
665529000047,Langhe,Produttori Del Barbaresco,,Barbaresco,2003,,,,,,
665529000049,Produttori del Barbaresco,,Nebbiolo,Italy - Piedmont - Barbaresco,1997,$29.95 (CDN),,,,"Tasting note: Medium ruby/orange colour with aromas of roses and cranberry. Dry, supple, fairly fruit-forward but ably supported by a fine tannic frame. Though it could be enjoyed now with rare beef dishes (1997 was a very warm vintage for Piedmont), it will also improve with mid-term ageing (4-7 years). (Vintages panel, Dec. 2002).  (Source:  Vintages, September 2003).",750ml
665529001213,Produttori del Barbaresco,Montestefano,Nebbiolo,Barbaresco,1997,35,,,,,750ml
665529001367,,Barbaresco Asili 2000,,Barbaresco,2000,,,,Langhe,,
665529005013,Langhe,Langhe Nebbiolo,Nebbiolo,Barbaresco,1999,18.99,,,,,750ml
666262926511,Talbott,- Kali Hart,Chardonnay,Sleepy Hollow Vineyards,2003,,,,,,
666363245566,,Dolium,Tempranillo,Argentina,2005,,,,,,750ml
667219000230,Goiya,,75% Shiraz/ 25% Pinotage,South Africa,2002,6,,,,,
6672233711005,Weingut Eugen Wehrheim,Neirsteiner Orbel Riesling Spatlese,Riesling,Germany,2002,,,,,,
667359023151,Willow Crest,Willow Crest,Pinot Gris,Washington,2000,,,,,,750ml
667359200057,Harvest Moon,Row 54,Cabernet Sauvignon,Washington,2003,9.99,,,,,
667800200759,Langmeil,Hangin' Snakes,Shiraz,Barossa Valley,2006,14.00,,87,,,
667800500750,Langmeil Earthworks Winery,,Shiraz,Barossa Valley,2006,(10),,,,,750ml
667800510755,Langmeil Earthworks Winery ,Cavernet Sauvignon,Cabernet Sauvignon,Barossa Valley,2005r,15.99,,90wa,,,750ml
667800510759,Langmeil Earthworks Winery,,Cabernet Sauvignon,Barossa Valley,2006,(10),,WA90,,,750ml
669175960023,Burrell School,,Zinfandel,Santa Cruz,1997,25,,,,,750ml
669175980106,Burrell School,Naumann Ranch Merlot,Merlot,Santa Cruz,2001,25,,,,,
669180000035,Rustenberg John X Merriman,Merlot-Cbernet Sauvignon,Merlot,South Africa,2004,31,,,,,750ml
669576018446,Duckhorn,,Cabernet Sauvignon,Napa,2007,,,,,,750ml
669576018552,Duckhorn,Stout Vineyard,Merlot,Napa,2007,85,,,,,750ml
669576019214,Duckhorn,Decoy,Sauvignon Blanc,Napa,2009,$15.99,,,,,
669576019269,Duckhorn,Decoy,Cabernet Sauvignon,Napa,2008,21.99,,,,,750ml
669837421008,Brophy Clark,Lone Oak Vineyard,Zinfandel,Paso Robles,2003,12,,91 me,,,750ml
669952123597,Josep Foraster,Crianza,Red Wine,Spain,2001,15,,,,,750ml
669952400070,Stefano Accordini,Classico,Valpolicella,Italy,2003,,,,,,750ml
669952407642,i Castei,,Amarone della Valpolicella,Veneto,1995,44,,,,,
669952413001,Corrina,Bianco Vergine Valdichiana,White Wine,Italy,2003,10,,,,,750ml
670013000269,Babcock Vineyards,Babcock Chardonnay,Chardonnay,South Coast,2002,17.99,,,http://www.babcockwinery.com/,,750ml
670013002423,Babcock Vineyards,Santa Barbera County,Pinot Noir,South Coast,1998,,,,www.babcockwinery.com,,750ml
670013002430,Babcock Vineyards,Grand Cuvee,Pinot Noir,South Coast,2000,28,,,http://www.babcockwinery.com/,"13.8% alc; See newsletter, 4-2002 release date.",750ml
670013002485,Babcock Vineyards,"""Black Label Cuvee"" Santa Barbara County",Syrah,South Coast,1999,$40/$50 SRP,,,http://www.babcockwinery.com/,13.5% alc;,750ml
670013002522,Babcock Vineyards,Eleven Oaks Santa Barbara County,Sangiovese,South Coast,1999,40.00 SRP,,U-2,http://www.babcockwinery.com/,14.5% alc;,750ml
670013002546,Babcock Vineyards,Mt. Carmel,Pinot Noir,South Coast,2000,40.00,,,http://www.babcockwinery.com/,"13.8% alc; See newsletter, 4-01-2002 release date.",750ml
670013002560,Babcock Vineyards,Santa Barbera County,Syrah,South Coast,2000,22.00,,,http://www.babcockwinery.com/,,750ml
670013002683,Babcock Vineyards,,Pinot Noir,California,2004,$20,,,http://www.babcockwinery.com/,"This wine’s core, a brilliant ruby red color is joined by a vivid cherry fruit. Compared to last year’s wine, the cherry fruit in this one is not quite so dark. It’s more on the wild cherry side. Also, this wine is built more around that fruit, and less around the assertive earthy spice that was the signature of the 2003 bottling. While it is not as complex as the 2003, neither is it quite as stiff. It’s more of a versatile quaff; good with food, but also good for casual sipping.",750ml
670013002744,Babcock Vineyards,,Cabernet Sauvignon,Bay Area/Central Coast,2002,18,,,http://www.babcockwinery.com/,,750ml
670013002829,Babcock Vineyards,Radical,Syrah,South Coast,2004,,,,http://www.babcockwinery.com/,,750ml
670013002966,Babcock Vineyards,Nucleus,Cabernet Sauvignon,South Coast,2004,,,,http://www.babcockwinery.com/,,750ml
670013006049,Babcock Vineyards,,Cabernet Sauvignon,South Coast,2006,,,,http://www.babcockwinery.com/,,750ml
670580001171,McManis Family Vineyards,McManis ,Chardonnay,California,2001,8.99,,,,,750ml
670580002178,McManis Family Vineyards,McManis,Merlot,California,2001,8.99,,,,,750ml
670580004172,McManis Family Vineyards,,Cabernet Sauvignon,California,2001,8.99,,,ww.mcmainisfamilyvineyards.com,,750ml
670580005179,McManis Family Vineyards,McManis,Syrah,California,2001,8.99,,,http://www.mcmanisfamilyvinyards.com,,750ml
670580006176,McManis Family Vineyards,Pinot Grigio,,California,,,,,,,750ml
670580007173,McManis Family Vineyards,Viognier,Viognier,California,2003,12.00,,,,,750ml
670580009177,McManis Family Vineyards,,Zinfandel,California,2005,13,,,,,
670814000109,Antonini Ceresa,Prosecco La Robinia Extra Dry,Prosecco Spumante,Italy - Veneto,,,,,,,750ml
670815206012,Wilhelm Walch,Prendo,Pinot Noir,Italy - Vigneti Delle Dolomiti,2005,12.00,,,,,
670815444445,Elana Walch,Pinot Grigio,Pinot Grigio,Alto Adige,1999,,,,,,750ml
671413320322,Sant'Angelo,Negroamaro,Red Wine,,2006,10.99,,,,should have paid only 7 or 8 bucks,
672301000210,Com' é Bella,Rocco's Com' é Bella Vinyards Zinfandel,Zinfandel,Sierra Foothills,2000,25,,,,,750ml
672384053004,Helvetia Vineyards,Pinot Noir,Pinot Noir,Oregon,2003,11.50,,,http://www.helvetiawiner.com,,750ml
672502077011,Flaio,,Primitivo,"Salento, Italy",2004,7.99,,,,,750ml
672703007015,Everett Ridge,,,Sonoma,,,,,,,
672703007145,Everett Ridge,,Cabernet Sauvignon,Dry Creek Valley,1999,,,,,,750ml
672703008159,Everett Ridge Winery,,Chardonnay,Dry Creek Valley,2000,16.00,,,,,750ml
672703020403,Everett Ridge,"Mendocino County, Powerhouse Vineyard",Pinot Noir,Sonoma,2002,,,,,,750ml
672703030013,Everett Ridge,Dry Creek Valley,Zinfandel,Sonoma,2001,29,,,,,750ml
672703030129,Everett Ridge,Nuns Canyon,Syrah,Sonoma,2001,28,,,,,750ml
672703510041,Everett Ridge,Russian River Valley Reserve,Pinot Noir,Sonoma,2002,40,,,,,750ml
672762000132,Trevini,Sangiovese di Romagna Superiore Riserva,Sangiovese,Italy,1988,6,,,,,750ml
673087761562,Tresa,Nivuro Nero d'Avola,Cabernet Sauvignon Blend,Sicily,2001,12,,,,,750ml
674144013051,Vacqueyras,Vieux Clocher,Rhone Grenache70Syrah25Mourvedre5,Cote du Roussillon Villages,2001,16,,,,"Dark berries, black olives and hints of rosemary with sophisticated appeal. The fresh red fruits and hints of spice on the nose do not disappoint on the palate. ",
674144290094,Clos,Clos des Roses,Rhone,Cote du Roussillon Villages,2003,14,,,,"Mouth-watering red made from the naturally concentrated fruit of gnarled, 50 year-old vines. Carignan, Syrah and Grenache are the classic red trio of the Roussillon and form a wonderfully complex and deliciously smooth cuvee. From an historic estate near the Spanish border.",
674163030732,Woodward Canyon,Old Vines Columbia Valley,Cabernet Sauvignon,Washington,2003,80,,90+,,,1.5l
674163032224,,Woodward Canyon Blend,Blend,Washington,2003,,,,,,750ml
674163051720,,Woodward Canyon Artist Series,Cabernet Sauvignon,Washington,2005,,,,,,750ml
674163053724,Columbia Valley,Nelms Road,Cabernet Sauvignon,Washington,2005,,,,,,750ml
674163061729,Woodward Canyon,Artist Series #16,Cabernet Sauvignon,Washington,2007,35.00,,,,,750ml
674332000290,Domaine Coudoulet,Viognier,White Wine,Languedoc-Roussillon,2004,13,,,http://www.chemindesvins.com/w_coud.html,,750ml
674332990614,Canneta,Brunello di Montalcino,Red Wine,Tuscany,1997,49.99,,93,,,750ml
674974000054,Vallobera,Vallobera Crianza 1999,Rioja,Rioja,1999,,,,,,750ml
675705000916,High Pass,Walnut Ridge,Pinot Noir,Oregon,1999,36,,outst./WPNW,,PLATINUM MEDAL Wine Press NW Best of the NW Competition,750ml
675783000334,Step Rd,2002 Shiraz,Shiraz,Australia,2002,,,,,,
675783000440,Step Rd,,Shiraz,Australia,2003,8.00,,,,,
675829100028,Sheid Vineyards,White Riesling,White Riesling,California,2001,,,,www.scheidvineyards.com,,750ml
675829100035,Sheid Vineyards,Mer;pt,Merlot,California,2001,,,,www.scheidvineyards.com,,750ml
675829100059,Sheid Vineyards,Sheid Gewurztraminer,Gewurztraminer,California,2001,,,,www.scheidvineyards.com,,750ml
675829100080,Sheid Vineyards,Monterey Table Wine,Red Wine,California,2000,,,,www.scheidvineyards.com,,750ml
675829199046,Sheid Vineyards,Cabernet Sauvignon,Cabernet Sauvignon,California,2000,,,,www.scheidvineyards.com,,750ml
675839995010,Shepherd's Ridge,Shepherd's Ridge,Sauvignon Blanc,New Zealand,2002,12,,,,,
675847010217,Domaine Roger Luquet,Pouilly-Fuisse Bois Seguin,,Burgundy,2003,19.99,,,,,750ml
675847040115,Domaine Roger Luquet,Crement de Bourgogne,,Burgundy,,,,,,,750ml
676053000238,Stellenbosch,Waterford Estate,Cabernet Sauvignon,South Africa,2004,16.00,,91,,From Costco,750ml
676197005885,Casa Rivas,Maipo Valley,Sauvignon Blanc,Chile,2004,,,,,,
676493003707,East Dell Estates,Black Cab,Cabernet Sauvignon Blend,"Niagara, Canada",2002,11.95(Cdn),,,,,750ml
677758000011,Carmen,Nativa,Cabernet Sauvignon,Chile,2001,$19,,87,,,750ml
677758901240,Carmen,Carmenere Cabernet,Cabernet Sauvignon,Chile,2000,,,,,,
677758901271,Santa Maria,,Carmenere/Cabernet,Chile,2000,14.99,,,,,750ml
677758901301,Santa Maria,Gran Reserva,Cabernet Sauvignon,Chile,1999,13.99,,,,,750ml
677758901318,Santa Maria,Valle Central,Cabernet Sauvignon,Chile,2002,6.99,,,,,750ml
677758901332,Santa Maria,Sauvignon Blanc,Sauvignon Blanc,Chile,2002,0,,,,,750ml
677758901349,Santa Maria,,Merlot,Chile,2002,6.99,,,,,750ml
677758901554,Carmen,,Carmenere,Chile,2001,,,,,,750ml
677839020914,DK Cellars,Rattler Red,Red Wine,Sierra Foothills,2006,10.50,,,,,750ml
677839030807,DK Cellars,Pratt Vineyards,Cabernet Sauvignon,Sierra Foothills,2004,14.25,,,,,750ml
677842023230,Bodegas Primicia ,Vina Diezmo,Tempranillo,Rioja,1995,15.29,,,,,750ml
678243119980,Pepper Bridge,,Cabernet Sauvignon,Washington,1999,,,,,,
678243219994,Pepperbridge,Walla Walla Valley,Merlot,Washington,1999,50?? ATW,,,,,750ml
678801000002,Finca Luzón,Merlot Jumilla,Merlot,Spain,2000,8.99,,,,,750ml
678801000019,Finca Luzón,,"Monstrell, Cab, Tempranillo",Spain,2004,16,,,,,
678801000040,Finca Luzón,,Red,Spain,2004,9.00,,,,,750ml
679081956553,Ballentine,Ballentine,Zinfandel,Napa Valley,1996,12,,88,,,750ml
679081956653,Ballentine,Zinzfandel,Zinfandel,Napa Valley,1997,9.00,,,,,
679081957550,Ballentine,,Merlot,Napa Valley,1999,,,,,,
679081959554,Ballentine,,Cabernet Franc,Napa,2002,,,,,,750ml
679705000013,Henry's Drive,,Shiraz,Australia,2000,40?,,,,,750ml
679705000037,Henry's Drive,Cabernet Sauvignon,Cabernet Sauvignon,Australia,2002,30,,,,,750ml
679705000112,,Parson's Flat,Cabernet Sauvignon Blend,Australia - Padthaway,2000,36.00,,,,,750ml
679705000143,Henry's Drive,Reserve,Shiraz,Australia,2001,,,,,,
679705000167,Henry's Drive,,Shiraz,Australia,2002,30,,,,,750ml
679705000501,Henry's Drive,Pillar Box Red,Red Wine,Australia,2004,9,,,http://www.klwines.com/product.asp?sku=1019022,,750ml
679705000518,Henry's Drive,Dead Letter Office,Shiraz,Australia,2004,,,,,"purchased at Vino Aroma, Williamsville, NY, 2006",750ml
679705000600,Henry's Drive,Pillar Box,White Wine,Australia,2006,12,,,,,750ml
679705000808,Henry's Drive,Parsons Flat,Red Wine,Australia,2005,26.00,,,,,750ml
679940000014,De Bortoli,Noble One Botrytis Semillon,Semillon,Australia,2005,25,,,,,375ml
679940000038,De Bortoli,Yarra Valley Chardonnay,Chardonnay,Yarra Valley,2000,30,,88,,,750ml
679940000236,De Bortoli,Riverina,Shiraz,Australia,2002,7.00,,WS: 85,,"Bright in flavor, with a lively jolt of acidity to balance the ripe berry and cherry fruit, finishing with a layer of spicy oak.  Drink now through 2006.",
679940000274,De Bortoli,Riverina Chardonnay,Chardonnay,Australia,2001,,,,,,750ml
679940000427,De Bortoli,Petite Sirah db Selection,Petite Sirah,Australia,2006r,9.99,,,,,750ml
679940000533,De Bortoli,Vat 4 Petit Verdot,Petit Verdot,Australia,2002,10,,,,,750ml
680116145132,Chateauneuf du Pape,Broutin-Dussuc    ,Red Wine,Chateauneuf-du-Pape,1999,15,,,,"serve with lamb, pork tenderloin, duck",750ml
680116325138,Chateauneuf du Pape,,Merlot,Chateauneuf-du-Pape,2003,4.99,,,,,
680171522305,La Famiglia di Vini,Ponticello Amarone della Valpolicella,Red Wine,Italy,,,,,,,
6803012001098,Peachy Canyon,Especial,Zinfandel,Paso Robles,2007,38.00,,,,,750ml
681246003156,Red Rooster,The Golden Egg,Bordeaux Style,Canada,2003,50.00,,,redroosterwinery.com,,750ml
681246004023,Red Rooster,,Riesling,Canada,2005,14.00,,,redroosterwinery.com,,750ml
681246004054,Red Rooster,Red Rooster Chardonnay,Chardonnay,"Okanagan Valley, Canada",2005,,,,redroosterwinery.com,,750ml
681246004085,Red Rooster,,Pinot Blanc,Canada,2005,16.00,,,redroosterwinery.com,,750ml
681246006089,Red Rooster,Pinot Blanc,Pinot Blanc,"Okanagan Valley, Canada",2006,,,,redroosterwinery.com,,750ml
682065001101,Castello di Monastero,,Sangiovese,Toscana IGT,2000,,,,,,750ml
682065020713,Castello di Monastero,Sangiovese,Sangiovese,Tuscany,2003,,,,,,
682065036615,Sestano,Chianti Superiore,Sangiovese,Toscana IGT,2003,13,,,,,750ml
682302298318,Zenith Vineyards,,Pinot Noir,New Zealand,1999,,,,,,
682302542114,Sherwood Estate,,Sauvignon Blanc,New Zealand,2001,13.67,,,,K&L Selection,750ml
682302542138,Sherwood Estate,,Pinot Noir,New Zealand,2003,9,,,,,
682302712630,Greenstone Point,,Pinot Noir,New Zealand,2003,10.80,,,,,
682417011000,3 Rivers,Late Harvest Gewurztraminer,Gewurztraminer,Washington,1999,10.99,,,,,375ml
682417032005,3 Rivers,,Merlot,Washington,2001,,,,,,
682417042004,3 Rivers,Syrah,Syrah,Washington,2004,,,,,,750ml
682417052003,Three Rivers,Boushey Vineyards,Syrah,Washington - Yakima Valley,2000,,,,,,750ml
682417082000,3 Rivers,,Cabernet Sauvignon,Washington,2001,40,,,,,750ml
682417092009,3 Rivers,Wallawalle Meritage,Red Wine,Washington,1999,,,,,,750ml
682417102005,3 Rivers,,Sangiovese,Washington,2002,,,,,,
682417112004,Three Rivers Winery,River's Red,Red Wine - Blend,Washington,2004,,,,,"51% Merlot, 30% Cab Sauv, 14% Malbec, 5% Grenache",
682417142001,3 Rivers,MC2,Cabernet Sauvignon Blend,Washington,2001,8.99,,,,,750ml
682921112750,bodegas de la marques,Valserrano Crianza,Red Wine,Rioja,2002,9.99,,,,,750ml
682921118752,bodegas de la marques,valserrano,Rioja,Rioja,1999,17,,,,,750ml
683353000172,Rios-Lovell,Zinfandel,Zinfandel,Lodi,1998,,,,,,750ml
683740006107,Tarragona-Falset,Etim,Grenache,Spain,2000,9.00,,90,,,750ml
684530000015,Mason,Napa Valley,Sauvignon Blanc,Napa,2000,12.59,,88 WS,,Grape Tray,750ml
684530000039,Mason,Mason Merlot,Merlot,Napa,1999,,,,,,
684530000114,Mason,Pomelo,Sauvignon Blanc,Napa,2006,10,,87,,,
684634120008,Optima,Alexander Valley,Cabernet Sauvignon,,,14.00,,,,,750ml
684688091217,San Simone,Pinot Grigio,Pinot Gris,Italy,1999,7.99,,,,,750ml
684688291259,San Simone,Tocai Friulano,Merlot,Italy,2003,,,,,,
6855221200025,Sullivan Vineyards,Coeur De Vigne,Cabernet Sauvignon,Napa,1999,95,,,,,
685522120018,Sullivan Vineyards,Coeur de Vigne,Cabernet Sauvignon Blend,Napa,2001, 75 ,,83,http://www.sullivanwine.com/,83 WS,750ml
685522120025,Sullivan Vineyards,Coeur De Vigne,Cabernet Sauvignon,Rutherford,2000,105,,,,,750ml
685522220015,Sullivan Vineyards,,Merlot,Napa,2001,50,,,,,750ml
685522320012,Sullivan Vineyards,Cabernet Sauvignon,Cabernet Sauvignon,Napa,2001,50,,93,http://www.sullivanwine.com/,"Everything a great cab should be, big, balanced, lots of fruit and spice.",750ml
685522940050,Sullivan Vineyards,Red Ink,Cabernet Sauvignon Blend,Napa,2005,24.49,,,www.sullivanwine.com,"Cab Sav 85%, Syrah 15%; 13.5%",750ml
685522940067,Sullivan Vineyards,Red Ink,Cabernet Sauvignon Blend,Napa,2006,,,,www.sullivanwine.com,"Cab Sav 81%, Merlot 19%; 13.5%",750ml
686014000320,Nickel & Nickel,Sori Brico Vineyard,Merlot,Napa,2001,,,,,,750ml
686014000405,Nickel & Nickel,Ponzo Vineyard Russian River Valley,Zinfandel,Sonoma,2005,,,,,,750ml
686014000429,Nickel & Nickel,Bonfire Vineyard Dry Creek Valley,Zinfandel,Sonoma,2005,,,,,,750ml
686014000504,Nickel & Nickel,Dragonfly,Cabernet Sauvignon,Napa,2002,65.00,,3 stars,,,750ml
686014000511,Nickel & Nickel,Vogt Vineyard,Cabernet Sauvignon,Napa,2002,,,,,,750ml
686014000559,Nickel & Nickel,Branding Iron,Cabernet Sauvignon,Napa,2002,,,,,,750ml
686014000566,Nickel & Nickel,Rock Cairn,Cabernet Sauvignon,Napa,2002,,,,,,750ml
686014000603,Nickel & Nickel,Regusci Vineyard Block 4 Stags Leap District,Cabernet Sauvignon,Napa,2004,,,,,,750ml
686014000610,Nickel & Nickel,Copper Streak Vineyard Stags Leap Distict,Cabernet Sauvignon,Napa,2004,,,,,,750ml
686014000641,Nickel & Nickel,State Lane Ranch,Cabernet Sauvignon,Napa,2006,40,,,,,750ml
686631063005,Sunstone,,Syrah,South Coast,1999,40.00,,,,,750ml
